incidentId,publishedAt,source,sourceUrl,incident_country,incident_city,incident_specific_location,victim_nationalities,approximateNumberOfVictims,demographicDetails,laborConditions,labor_type,operator_nationality,organizationNames,numberOfPerpetrators,scam_types,duration,scale,raidDetails,arrestsMade,victimRescueOperations,incidentDescription,investigationStatus,dateScraped,latitude,longitude
MYANMAR_CLW_2024_06,2024-06-13,China Labor Watch,https://chinalaborwatch.org/chinas-recent-enforcement-against-scam-operations-in-myanmar-from-resolving-a-human-trafficking-crisis-to-national-interest/,Myanmar,,Scam compounds,['Chinese'],0,Victims lured via fake job advertisements,"Subjected to torture, electric shocks, debt bondage ($15k-$30k ransoms)",unknown,Myanmar-based syndicates,[],0,"['Crypto fraud', 'Investment scams']",Three years,$75B+ generated via crypto fraud,Joint China-Myanmar crackdowns,Multiple arrests reported,Ongoing rescue operations,Chinese victims trafficked into Myanmar-based scam operations,ongoing,2024-06-13,,
CAMBODIA_TIP_2024_06,2024-06-24,U.S. Department of State,https://www.state.gov/reports/2024-trafficking-in-persons-report/,Cambodia,,O'Smach Resort and Ko Kong,['Multiple'],0,Workers trafficked into online scams,Forced labor under threat of beatings or being resold,unknown,Cambodian,['L.Y.P Group'],0,"['Romance scams', 'Cryptocurrency fraud']",Ongoing at time of report,Large-scale operation across multiple facilities,,Sanctions against Ly Yong Phat and affiliated businesses,Two documented suicides at O'Smach Resort,Forced labor in Cambodian scam centers with official complicity,open,2024-06-24,,
USIP-20240708,2024-07-08,U.S. Institute of Peace,https://www.usip.org/publications/2024/07/examining-2024-annual-trafficking-persons-report-progress-over-politics,"['Cambodia', 'Laos', 'Myanmar']",,Compound facilities,"['American', 'Multiple (66+ countries)']",0,Individuals lured via fake job offers for high-tech roles,"Forced to work up to 20 hours/day running cryptocurrency scams, subjected to physical/psychological torture",unknown,Multiple (Transnational),['Transnational criminal networks'],0,"['Cryptocurrency scams', 'Pig-butchering schemes']",,"Multi-country operation with ransom demands between $10,000-$50,000",Interpol-led raids in Southeast Asia,,Approximately 150 victims rescued in late 2023,Large-scale trafficking operation involving fake job recruitment leading to forced labor in scam centers,ongoing,2024-01-15,,
UNODC-202407,2024-07,UN Office on Drugs and Crime (UNODC),https://www.unodc.org/unodc/frontpage/2024/July/crushing-scam-farms--southeast-asias-criminal-service-providers.html,"['Myanmar', 'Thailand']",,Myanmar-Thailand border regions,['Multiple'],1000,Victims subjected to electric shocks for failing quotas,"Forced labor in compounds, torture for failing scamming quotas",unknown,Southeast Asian,['Transnational organized crime groups'],0,"['Romance scams', 'Investment frauds']",,Billions generated annually,Regional government collaboration to dismantle compounds,,Ongoing rescue operations,Large-scale scam centers operating as criminal service providers targeting Westerners,ongoing,2024-01-15,,
LAOS_GT_2024_001,2024-08-20,International Justice Mission (IJM) Australia,https://ijm.org.au/news/laos-crackdown-on-scam-centres/,Laos,,Golden Triangle Special Economic Zone,['Multiple nationalities'],85000,Trafficked migrant workers,"Forced to conduct romance, investment, and marketplace scams under threat of severe punishment",unknown,,['Criminal gangs'],0,"['Romance scams', 'Investment scams', 'Marketplace scams']",,$43.8 billion annually (nearly 40% of Laos/Cambodia/Myanmar's combined GDP),Government ordered closure of all scam operations in Golden Triangle zone,,IJM urged robust victim identification processes,Large-scale crackdown on scam centers in Laos' Golden Triangle Special Economic Zone involving forced labor and human trafficking,ongoing,2024-08-20,,
OSRC-2024-001,2024-09-13,The Register,https://www.theregister.com/2024/09/13/cambodian_senator_sanctioned_for_cyberscams/,Cambodia,O Smach,O Smach Resort,"['Chinese', 'Indian', 'Indonesian', 'Malaysian', 'Singaporean', 'Thai', 'Vietnamese']",0,Trafficked workers from multiple Asian countries,"Forced to work under torture including electric shocks and beatings, passports and phones confiscated",unknown,Cambodian,['L.Y.P. Group'],1,"['cryptocurrency scams', 'forex scams']",,Large-scale operation at resort complex,Cambodian authorities conducted rescue operations,,Multiple rescue missions conducted freeing multinational victims,Cambodian senator Ly Yong Phat sanctioned for operating forced labor cyber-scam center at O Smach Resort,ongoing,2024-09-13,,
OSMC-2024-001,2024-09-12,U.S. Department of the Treasury,https://home.treasury.gov/news/press-releases/jy2576,Cambodia,O'Smach,O'Smach Resort,['Various Asian nationalities'],0,Individuals lured with false job offers,"Forced labor up to 15 hours/day, passports confiscated, physical abuse including electric shocks and death threats",unknown,Cambodian,['L.Y.P. Group'],0,"['cryptocurrency fraud', 'romance fraud']",,Large-scale operation with victims being resold to other operations,,,U.S. Treasury sanctions imposed on entities linked to Ly Yong Phat,Forced labor operation in Cambodian resort involving online scams and human trafficking,ongoing,2024-02-15,,
SEA-2024-001,2024-12-05,Voice of America,https://www.voanews.com/a/in-southeast-asia-s-scam-centers-human-trafficking-worsens/7888452.html,Multiple,Various,"Compounds in Myanmar, Cambodia, and Laos","['East Asian', 'Southeast Asian']",200000,Victims from East and Southeast Asia,15-hour workdays under threat of violence,unknown,Chinese,[],0,"['cryptocurrency scams', 'romance frauds']",,Billions annually in revenue,,,UNODC and U.S. Institute of Peace involvement,Large-scale forced labor operation across multiple Southeast Asian countries,ongoing,2024-02-15,,
RSN20241126,2024-11-26,RedSeal,https://www.redseal.net/cyber-news-roundup-for-november-26-2024/,Multiple,,Prison-like compounds in abandoned casinos/hotels,['Multiple'],0,Job seekers,"Forced to work 15-20 hours daily under surveillance, passports/phones confiscated, physical abuse and threats if quotas unmet",unknown,,['Organized crime groups'],0,"['pig butchering', 'romance scams', 'crypto fraud']",Emerged during COVID-19,"Multi-country operation across Myanmar, Laos, Cambodia, UAE, Philippines",,,Meta flagged operations and collaborated with authorities,Large-scale forced labor operation forcing victims to conduct online scams under threat,ongoing,2024-11-26,,
WEF20241126,2024-11-26,World Economic Forum,https://www.weforum.org/stories/2024/11/collaboration-key-tackling-cybercrime-cybersecurity/,Multiple African Countries,,,['Multiple'],35000,Victims of cyber-enabled financial scams,,unknown,,['Transnational criminal networks'],1000,"['phishing', 'financial fraud']",,19 African countries,Operation Serengeti by INTERPOL and AFRIPOL,"Over 1,000 arrests","Dismantled 134,000+ malicious networks",Major cybercrime enforcement operation across Africa targeting financial fraud networks,completed,2024-11-26,,
CSIS-20241212-01,2024-12-12,Center for Strategic & International Studies (CSIS),https://www.csis.org/analysis/cyber-scamming-goes-global-sourcing-forced-labor-fraud-factories,Multiple,Multiple,"Southeast Asia (Cambodia, Myanmar), Ghana, Peru, UAE, Mexico","['Malaysian', 'Nigerian']",43,Job seekers,"Held in guarded compounds, passports confiscated, forced to conduct scams",unknown,"Chinese, Taiwanese","['Chinese transnational crime groups', 'Taiwanese criminal networks']",0,"['impersonation fraud', 'data harvesting', 'AI-driven scams']",,International operation across multiple countries,Raids conducted in Peru and Ghana,,"43 Malaysians rescued in Peru, Nigerian victims rescued in Ghana",Global cyber scamming operation using forced labor in fraud factories,ongoing,2024-12-12,,
FM-202412-01,2024-12-01,Fraud Magazine,https://www.fraud-magazine.com/cover-article.aspx?id=4295023858,Cambodia,,O-Smach Resort,"['Chinese', 'Indian', 'Indonesian', 'Malaysian', 'Singaporean', 'Thai', 'Vietnamese']",0,Multiple nationalities,"15-20 hour workdays, physical abuse, electric shocks",unknown,Cambodian,['Ly Yong Phat organization'],0,['cryptocurrency scams'],,Large-scale resort compound operation,Multi-year investigations,,Multiple rescue missions conducted by Cambodian authorities,Resort converted to scam center with forced labor and abuse,ongoing,2024-12-01,,
CSIS-20241212-02,2024-12-12,CSIS,https://www.csis.org/analysis/cyber-scamming-goes-global-unveiling-southeast-asias-high-tech-fraud-factories,Multiple,Multiple,"Philippines, Thailand",[],0,Trafficked workers,Forced into conducting romance and crypto scams,unknown,"Filipino, Chinese","['Alice Guo network', 'Chinese syndicates']",0,"['romance scams', 'cryptocurrency fraud']",,Regional operation across Southeast Asia,Raids on facilities linked to ex-mayor Alice Guo,,Ongoing anti-corruption efforts,Southeast Asian fraud factories with corrupt official involvement,ongoing,2024-12-12,,
